declaration	visibility	historical_owner	reason
NumStability.Ch14Ext.ch14ext_cor147SourceForwardRelativeRemainder_isBigO	public	NumStability.Algorithms.Ch14Corollary147SourceClosure	in the pinned reverse closure
NumStability.Ch14Ext.ch14ext_cor147SourceForwardVectorRemainder_isBigO	public	NumStability.Algorithms.Ch14Corollary147SourceClosure	in the pinned reverse closure
NumStability.Ch14Ext.ch14ext_cor147SourceResidualLeadingCorrection_isBigO	public	NumStability.Algorithms.Ch14Corollary147SourceClosure	in the pinned reverse closure
NumStability.Ch14Ext.ch14ext_cor147SourceResidualRemainder_isBigO	public	NumStability.Algorithms.Ch14Corollary147SourceClosure	in the pinned reverse closure
NumStability.Ch14Ext.ch14ext_cor147Source_factorProximity_isBigO	public	NumStability.Algorithms.Ch14Corollary147SourceClosure	in the pinned reverse closure
NumStability.Ch14Ext.ch14ext_cor147Source_forwardCore_difference_isBigO	public	NumStability.Algorithms.Ch14Corollary147SourceClosure	in the pinned reverse closure
NumStability.Ch14Ext.ch14ext_cor147Source_forwardT1_difference_isBigO	public	NumStability.Algorithms.Ch14Corollary147SourceClosure	in the pinned reverse closure
NumStability.Ch14Ext.ch14ext_cor147Source_forwardT2_difference_isBigO	public	NumStability.Algorithms.Ch14Corollary147SourceClosure	in the pinned reverse closure
NumStability.Ch14Ext.ch14ext_cor147Source_forward_14_32_family_endpoint	public	NumStability.Algorithms.Ch14Corollary147SourceClosure	in the pinned reverse closure
NumStability.Ch14Ext.ch14ext_cor147Source_forward_vanishing_family_endpoint	public	NumStability.Algorithms.Ch14Corollary147SourceClosure	in the pinned reverse closure
NumStability.Ch14Ext.ch14ext_cor147Source_printedResidualLeading_difference_isBigO	public	NumStability.Algorithms.Ch14Corollary147SourceClosure	in the pinned reverse closure
NumStability.Ch14Ext.ch14ext_cor147Source_printedX_difference_isBigO	public	NumStability.Algorithms.Ch14Corollary147SourceClosure	in the pinned reverse closure
NumStability.Ch14Ext.ch14ext_cor147Source_residual_14_31_family_endpoint	public	NumStability.Algorithms.Ch14Corollary147SourceClosure	in the pinned reverse closure
NumStability.Ch14Ext.ch14ext_cor147Source_residual_vanishing_family_endpoint	public	NumStability.Algorithms.Ch14Corollary147SourceClosure	in the pinned reverse closure
NumStability.Ch14Ext.ch14ext_cor147Source_vanishing_family_endpoint	public	NumStability.Algorithms.Ch14Corollary147SourceClosure	in the pinned reverse closure
NumStability.Ch14Ext.ch14ext_cor147WeakForwardPrintedRemainder_isBigO	public	NumStability.Algorithms.Ch14Corollary147WeakFamily	in the pinned reverse closure
NumStability.Ch14Ext.ch14ext_cor147WeakForwardRelativeRemainder_isBigO	public	NumStability.Algorithms.Ch14Corollary147WeakFamily	in the pinned reverse closure
NumStability.Ch14Ext.ch14ext_cor147WeakForwardVectorRemainder_isBigO	public	NumStability.Algorithms.Ch14Corollary147WeakFamily	in the pinned reverse closure
NumStability.Ch14Ext.ch14ext_cor147WeakResidualRemainder_isBigO	public	NumStability.Algorithms.Ch14Corollary147WeakFamily	in the pinned reverse closure
NumStability.Ch14Ext.ch14ext_cor147Weak_forward_bound	public	NumStability.Algorithms.Ch14Corollary147WeakFamily	in the pinned reverse closure
NumStability.Ch14Ext.ch14ext_cor147Weak_forward_printed_bound_of_coefficient_lt_one	public	NumStability.Algorithms.Ch14Corollary147WeakFamily	in the pinned reverse closure
NumStability.Ch14Ext.ch14ext_cor147Weak_forward_printed_eventually	public	NumStability.Algorithms.Ch14Corollary147WeakFamily	in the pinned reverse closure
NumStability.Ch14Ext.ch14ext_cor147Weak_forward_vanishing_family_endpoint	public	NumStability.Algorithms.Ch14Corollary147WeakFamily	in the pinned reverse closure
NumStability.Ch14Ext.ch14ext_cor147Weak_residual_bound	public	NumStability.Algorithms.Ch14Corollary147WeakFamily	in the pinned reverse closure
NumStability.Ch14Ext.ch14ext_cor147Weak_residual_vanishing_family_endpoint	public	NumStability.Algorithms.Ch14Corollary147WeakFamily	in the pinned reverse closure
NumStability.Ch14Ext.ch14ext_cor147Weak_vanishing_family_endpoint	public	NumStability.Algorithms.Ch14Corollary147WeakFamily	in the pinned reverse closure
NumStability.Ch14Ext.ch14ext_eq14_3_quadraticRemainder_isBigO	public	NumStability.Algorithms.Ch14ForwardErrorEndpoint	in the pinned reverse closure
NumStability.Ch14Ext.ch14ext_eq14_6_familyRemainder_isBigO	public	NumStability.Algorithms.Ch14AsymptoticFamilies	in the pinned reverse closure
NumStability.Ch14Ext.ch14ext_eq14_6_method1_forward_error_endpoint	public	NumStability.Algorithms.Ch14ForwardErrorEndpoint	in the pinned reverse closure
NumStability.Ch14Ext.ch14ext_eq14_6_method1_quadraticRemainder_isBigO	public	NumStability.Algorithms.Ch14ForwardErrorEndpoint	in the pinned reverse closure
NumStability.Ch14Ext.ch14ext_eq14_6_vanishing_family_endpoint	public	NumStability.Algorithms.Ch14AsymptoticFamilies	in the pinned reverse closure
NumStability.Ch14Ext.ch14ext_eq14_7_familyRemainder_isBigO	public	NumStability.Algorithms.Ch14AsymptoticFamilies	in the pinned reverse closure
NumStability.Ch14Ext.ch14ext_eq14_7_vanishing_family_endpoint	public	NumStability.Algorithms.Ch14AsymptoticFamilies	in the pinned reverse closure
NumStability.Ch14Ext.ch14ext_gammaRem_family_isBigO_unit_sq	public	NumStability.Algorithms.Ch14GJEAsymptoticFamilies	in the pinned reverse closure
NumStability.Ch14Ext.ch14ext_gamma_family_isBigO_unit	public	NumStability.Algorithms.Ch14GJEAsymptoticFamilies	in the pinned reverse closure
NumStability.Ch14Ext.ch14ext_gje1430bPrintedRemainder_isBigO_unit_sq	public	NumStability.Algorithms.Ch14GJEPrintedEnvelopeClosure	in the pinned reverse closure
NumStability.Ch14Ext.ch14ext_gje1430cPrintedRemainder_isBigO_unit_sq	public	NumStability.Algorithms.Ch14GJEPrintedEnvelopeClosure	in the pinned reverse closure
NumStability.Ch14Ext.ch14ext_gje1431EnvelopeCorrectionAction_isBigOOne	public	NumStability.Algorithms.Ch14GJEPrintedEnvelopeClosure	in the pinned reverse closure
NumStability.Ch14Ext.ch14ext_gje1431PrintedRemainder_isBigO_unit_sq	public	NumStability.Algorithms.Ch14GJEPrintedEnvelopeClosure	in the pinned reverse closure
NumStability.Ch14Ext.ch14ext_gjeConcreteFamilyPabs_isBigOOne	public	NumStability.Algorithms.Ch14GJEPrintedEnvelopeClosure	in the pinned reverse closure
NumStability.Ch14Ext.ch14ext_gjeConcreteFamilyPabs_le_Xabs	public	NumStability.Algorithms.Ch14GJEPrintedEnvelopeClosure	in the pinned reverse closure
NumStability.Ch14Ext.ch14ext_gjeConcretePrintedEnvelopeFamily	public	NumStability.Algorithms.Ch14GJEPrintedEnvelopeClosure	in the pinned reverse closure
NumStability.Ch14Ext.ch14ext_gjeConcrete_14_30bc_printed_vanishing_family_endpoint	public	NumStability.Algorithms.Ch14GJEPrintedEnvelopeClosure	in the pinned reverse closure
NumStability.Ch14Ext.ch14ext_gjeConcrete_14_31_printed_vanishing_family_endpoint	public	NumStability.Algorithms.Ch14GJEPrintedEnvelopeClosure	in the pinned reverse closure
NumStability.Ch14Ext.ch14ext_gjeConcrete_constructedQ_diag_one	public	NumStability.Algorithms.Ch14GJEPrintedEnvelopeClosure	in the pinned reverse closure
NumStability.Ch14Ext.ch14ext_gjeConcrete_forward_14_32_vanishing_family_endpoint	public	NumStability.Algorithms.Ch14GJEAsymptoticFamilies	in the pinned reverse closure
NumStability.Ch14Ext.ch14ext_gjeConcrete_residual_14_31_vanishing_family_endpoint	public	NumStability.Algorithms.Ch14GJEAsymptoticFamilies	in the pinned reverse closure
NumStability.Ch14Ext.ch14ext_gjeExactQPEnvelope_le_printed_add_correction	public	NumStability.Algorithms.Ch14GJEPrintedEnvelopeClosure	in the pinned reverse closure
NumStability.Ch14Ext.ch14ext_gjeExactQPEnvelope_matMulVec_le_printed_add_correction	public	NumStability.Algorithms.Ch14GJEPrintedEnvelopeClosure	in the pinned reverse closure
NumStability.Ch14Ext.ch14ext_gjeExactQPEnvelope_matMul_le_printed_add_correction	public	NumStability.Algorithms.Ch14GJEPrintedEnvelopeClosure	in the pinned reverse closure
NumStability.Ch14Ext.ch14ext_gjeFinalizedFamily_stage2_error_isBigO_unit	public	NumStability.Algorithms.Ch14GJEFinalDivisionClosure	in the pinned reverse closure
NumStability.Ch14Ext.ch14ext_gjeFinalizedFamily_theorem14_5_endpoint	public	NumStability.Algorithms.Ch14GJEFinalDivisionClosure	in the pinned reverse closure
NumStability.Ch14Ext.ch14ext_gjeForwardFinalDivisionHigherOrder_family_isBigO	public	NumStability.Algorithms.Ch14GJEFinalDivisionClosure	in the pinned reverse closure
NumStability.Ch14Ext.ch14ext_gjeForwardLiteralHigherOrder_family_isBigO	public	NumStability.Algorithms.Ch14GJEAsymptoticFamilies	in the pinned reverse closure
NumStability.Ch14Ext.ch14ext_gjePrintedEnvelopeCorrection_isBigOOne	public	NumStability.Algorithms.Ch14GJEPrintedEnvelopeClosure	in the pinned reverse closure
NumStability.Ch14Ext.ch14ext_gjeResidualFinalDivisionHigherOrder_family_isBigO	public	NumStability.Algorithms.Ch14GJEFinalDivisionClosure	in the pinned reverse closure
NumStability.Ch14Ext.ch14ext_gjeResidualFinalizedPrintedHigherOrder_family_isBigO	public	NumStability.Algorithms.Ch14GJEFinalDivisionClosure	in the pinned reverse closure
NumStability.Ch14Ext.ch14ext_gjeResidualHigherOrder_family_isBigO	public	NumStability.Algorithms.Ch14GJEAsymptoticFamilies	in the pinned reverse closure
NumStability.Ch14Ext.ch14ext_gjeResidualPrintedEnvelopeCorrection_isBigOOne	public	NumStability.Algorithms.Ch14GJETheorem145SourceClosure	in the pinned reverse closure
NumStability.Ch14Ext.ch14ext_gjeResidualS2_exact_le_printed_add_correction	public	NumStability.Algorithms.Ch14GJETheorem145SourceClosure	in the pinned reverse closure
NumStability.Ch14Ext.ch14ext_gjeResidualS2_le_1431PrintedLeading_add_correction	public	NumStability.Algorithms.Ch14GJEPrintedEnvelopeClosure	in the pinned reverse closure
NumStability.Ch14Ext.ch14ext_gjeSourceResidual1431PrintedRemainder_isBigO_unit_sq	public	NumStability.Algorithms.Ch14GJETheorem145SourceClosure	in the pinned reverse closure
NumStability.Ch14Ext.ch14ext_gjeSourceTrace_14_30abc_printed_vanishing_family_endpoint	public	NumStability.Algorithms.Ch14GJETheorem145SourceClosure	in the pinned reverse closure
NumStability.Ch14Ext.ch14ext_gjeSourceTrace_forward_14_32_printed_vanishing_family_endpoint	public	NumStability.Algorithms.Ch14GJETheorem145SourceClosure	in the pinned reverse closure
NumStability.Ch14Ext.ch14ext_gjeSourceTrace_residual_14_31_printed_vanishing_family_endpoint	public	NumStability.Algorithms.Ch14GJETheorem145SourceClosure	in the pinned reverse closure
NumStability.Ch14Ext.ch14ext_gjeSourceTrace_theorem14_5_printed_vanishing_family_endpoint	public	NumStability.Algorithms.Ch14GJETheorem145SourceClosure	in the pinned reverse closure
NumStability.Ch14Ext.ch14ext_gje_c3_family_isBigO_unit	public	NumStability.Algorithms.Ch14GJEAsymptoticFamilies	in the pinned reverse closure
NumStability.Ch14Ext.ch14ext_gje_c3_quadratic_remainder_family_isBigO_unit_sq	public	NumStability.Algorithms.Ch14GJEAsymptoticFamilies	in the pinned reverse closure
NumStability.Ch14Ext.ch14ext_luBackward_factorProximity_isBigO	public	NumStability.Algorithms.Ch14Corollary147SourceClosure	in the pinned reverse closure
NumStability.Ch14Ext.ch14ext_luBackward_productResidual_isBigO	public	NumStability.Algorithms.Ch14Corollary147SourceClosure	in the pinned reverse closure
NumStability.Ch14Ext.ch14ext_m1bInv_right_residual	public	NumStability.Algorithms.Ch14Method1BWhole	in the pinned reverse closure
NumStability.Ch14Ext.ch14ext_m1b_block_right_residual	public	NumStability.Algorithms.Ch14Method1BWhole	in the pinned reverse closure
NumStability.Ch14Ext.ch14ext_method1B_whole_right_residual	public	NumStability.Algorithms.Ch14Method1BWhole	in the pinned reverse closure
NumStability.Ch14Ext.ch14ext_method1B_whole_right_residual_normwise	public	NumStability.Algorithms.Ch14Method1BWhole	in the pinned reverse closure
NumStability.Ch14Ext.ch14ext_method2CInv_left_residual	public	NumStability.Algorithms.Ch14Method2CWhole	in the pinned reverse closure
NumStability.Ch14Ext.ch14ext_method2C_block_left_residual	public	NumStability.Algorithms.Ch14Method2C	in the pinned reverse closure
NumStability.Ch14Ext.ch14ext_method2C_whole_left_residual	public	NumStability.Algorithms.Ch14Method2CWhole	in the pinned reverse closure
NumStability.Ch14Ext.ch14ext_method2C_whole_left_residual_normwise	public	NumStability.Algorithms.Ch14Method2CWhole	in the pinned reverse closure
NumStability.Ch14Ext.ch14ext_problem14_2_method1B_twoBlock_right_family	public	NumStability.Algorithms.Ch14Problem142Families	in the pinned reverse closure
NumStability.Ch14Ext.ch14ext_problem14_2_method2B_twoBlock_left_family	public	NumStability.Algorithms.Ch14Problem142Families	in the pinned reverse closure
NumStability.Ch14Ext.ch14ext_problem14_2_method2C_twoBlock_left_family	public	NumStability.Algorithms.Ch14Problem142Families	in the pinned reverse closure
NumStability.Ch14Ext.ch14ext_problem14_5_left_familyRemainder_isBigO	public	NumStability.Algorithms.Ch14AsymptoticFamilies	in the pinned reverse closure
NumStability.Ch14Ext.ch14ext_problem14_5_left_inverse_solve_forward_error_endpoint	public	NumStability.Algorithms.Ch14ForwardErrorEndpoint	in the pinned reverse closure
NumStability.Ch14Ext.ch14ext_problem14_5_left_quadraticRemainder_isBigO	public	NumStability.Algorithms.Ch14ForwardErrorEndpoint	in the pinned reverse closure
NumStability.Ch14Ext.ch14ext_problem14_5_left_vanishing_family_endpoint	public	NumStability.Algorithms.Ch14AsymptoticFamilies	in the pinned reverse closure
NumStability.Ch14Ext.ch14ext_problem14_5_right_familyRemainder_isBigO	public	NumStability.Algorithms.Ch14AsymptoticFamilies	in the pinned reverse closure
NumStability.Ch14Ext.ch14ext_problem14_5_right_inverse_solve_forward_error_endpoint	public	NumStability.Algorithms.Ch14ForwardErrorEndpoint	in the pinned reverse closure
NumStability.Ch14Ext.ch14ext_problem14_5_right_quadraticRemainder_isBigO	public	NumStability.Algorithms.Ch14ForwardErrorEndpoint	in the pinned reverse closure
NumStability.Ch14Ext.ch14ext_problem14_5_right_vanishing_family_endpoint	public	NumStability.Algorithms.Ch14AsymptoticFamilies	in the pinned reverse closure
NumStability.Ch14Ext.higham14_problem14_2_lowerBlock_mul_sub_one	public	NumStability.Algorithms.Ch14Problem142	in the pinned reverse closure
NumStability.Ch14Ext.higham14_problem14_2_lowerBlock_one	public	NumStability.Algorithms.Ch14Problem142	in the pinned reverse closure
NumStability.Ch14Ext.higham14_problem14_2_method1B_twoBlock_right_firstOrder	public	NumStability.Algorithms.Ch14Problem142	in the pinned reverse closure
NumStability.Ch14Ext.higham14_problem14_2_method2B_twoBlock_left_firstOrder	public	NumStability.Algorithms.Ch14Problem142Method2B	in the pinned reverse closure
NumStability.Ch14Ext.higham14_problem14_2_method2C_twoBlock_left_firstOrder	public	NumStability.Algorithms.Ch14Problem142	in the pinned reverse closure
NumStability.gje_rowDiagDominantUpper_forward_error_relative_infNorm_kappaInf_of_cumulative_product_certificates_c3_cap	public	NumStability.Algorithms.GaussJordan	span sibling or command-level extension
NumStability.gje_rowDiagDominantUpper_forward_error_relative_infNorm_kappaInf_rowsum_of_cumulative_product_certificates_c3_cap	public	NumStability.Algorithms.GaussJordan	span sibling or command-level extension
NumStability.gje_rowDiagDominantUpper_forward_error_relative_infNorm_of_cumulative_product_certificates_c3_cap	public	NumStability.Algorithms.GaussJordan	span sibling or command-level extension
NumStability.gje_rowDiagDominantUpper_residual_of_cumulative_product_certificates	public	NumStability.Algorithms.GaussJordan	span sibling or command-level extension
NumStability.gje_rowDiagDominantUpper_residual_relative_infNorm_of_cumulative_product_certificates_c3_cap	public	NumStability.Algorithms.GaussJordan	span sibling or command-level extension
NumStability.gje_rowDiagDominantUpper_residual_relative_infNorm_rowsum_of_cumulative_product_certificates_c3_cap	public	NumStability.Algorithms.GaussJordan	span sibling or command-level extension
NumStability.higham14_problem14_12_hadamardConditionNumber_peiMatrix	public	NumStability.Algorithms.MatrixInversion	in the pinned reverse closure
NumStability.higham14_problem14_12_hadamardConditionNumber_peiMatrix_abs	public	NumStability.Algorithms.MatrixInversion	in the pinned reverse closure
NumStability.higham14_problem14_12_hadamardConditionNumber_stressUpper_one_eq_sqrt_factorial	public	NumStability.Algorithms.MatrixInversion	in the pinned reverse closure
NumStability.higham14_problem14_12_peiMatrix_det	public	NumStability.Algorithms.MatrixInversion	in the pinned reverse closure
_private.NumStability.Algorithms.Ch14AsymptoticFamilies.0.NumStability.Ch14Ext.composed_gammaQuadraticCoefficient_isBigO_one	private	NumStability.Algorithms.Ch14AsymptoticFamilies	private root
_private.NumStability.Algorithms.Ch14AsymptoticFamilies.0.NumStability.Ch14Ext.composed_gammaUnitCoefficient_isBigO_one	private	NumStability.Algorithms.Ch14AsymptoticFamilies	private root
_private.NumStability.Algorithms.Ch14ForwardErrorEndpoint.0.NumStability.Ch14Ext.ch14ext_double_sum_add_scaled	private	NumStability.Algorithms.Ch14ForwardErrorEndpoint	private root
_private.NumStability.Algorithms.Ch14ForwardErrorEndpoint.0.NumStability.Ch14Ext.ch14ext_matMulVec_matrix_add_scaled	private	NumStability.Algorithms.Ch14ForwardErrorEndpoint	private root
_private.NumStability.Algorithms.Ch14ForwardErrorEndpoint.0.NumStability.Ch14Ext.ch14ext_matMulVec_triple_matrix_add_scaled	private	NumStability.Algorithms.Ch14ForwardErrorEndpoint	private root
_private.NumStability.Algorithms.Ch14ForwardErrorEndpoint.0.NumStability.Ch14Ext.ch14ext_matMulVec_vector_add_scaled	private	NumStability.Algorithms.Ch14ForwardErrorEndpoint	private root
_private.NumStability.Algorithms.Ch14ForwardErrorEndpoint.0.NumStability.Ch14Ext.ch14ext_sq_mul_isBigO_of_continuousAt	private	NumStability.Algorithms.Ch14ForwardErrorEndpoint	private root
_private.NumStability.Algorithms.Ch14GJEAsymptoticFamilies.0.NumStability.Ch14Ext.ch14ext_gammaQuadraticCoefficient_family_isBigO_one	private	NumStability.Algorithms.Ch14GJEAsymptoticFamilies	private root
_private.NumStability.Algorithms.Ch14GJEAsymptoticFamilies.0.NumStability.Ch14Ext.ch14ext_gammaUnitCoefficient_family_isBigO_one	private	NumStability.Algorithms.Ch14GJEAsymptoticFamilies	private root
_private.NumStability.Algorithms.Ch14GJEAsymptoticFamilies.0.NumStability.Ch14Ext.ch14ext_gjeForwardQ1_family_isBigOOne	private	NumStability.Algorithms.Ch14GJEAsymptoticFamilies	private root
_private.NumStability.Algorithms.Ch14GJEAsymptoticFamilies.0.NumStability.Ch14Ext.ch14ext_gjeForwardQ2_family_isBigOOne	private	NumStability.Algorithms.Ch14GJEAsymptoticFamilies	private root
_private.NumStability.Algorithms.Ch14GJEAsymptoticFamilies.0.NumStability.Ch14Ext.ch14ext_gjeForwardRaw_family_isBigOOne	private	NumStability.Algorithms.Ch14GJEAsymptoticFamilies	private root
_private.NumStability.Algorithms.Ch14GJEAsymptoticFamilies.0.NumStability.Ch14Ext.ch14ext_gjeForwardT1_family_isBigOOne	private	NumStability.Algorithms.Ch14GJEAsymptoticFamilies	private root
_private.NumStability.Algorithms.Ch14GJEAsymptoticFamilies.0.NumStability.Ch14Ext.ch14ext_gjeForwardT2_family_isBigOOne	private	NumStability.Algorithms.Ch14GJEAsymptoticFamilies	private root
_private.NumStability.Algorithms.Ch14GJEAsymptoticFamilies.0.NumStability.Ch14Ext.ch14ext_gjeForwardUinvCorrection_family_isBigOOne	private	NumStability.Algorithms.Ch14GJEAsymptoticFamilies	private root
_private.NumStability.Algorithms.Ch14GJEAsymptoticFamilies.0.NumStability.Ch14Ext.ch14ext_gjeResidualS22_family_isBigOOne	private	NumStability.Algorithms.Ch14GJEAsymptoticFamilies	private root
_private.NumStability.Algorithms.Ch14GJEAsymptoticFamilies.0.NumStability.Ch14Ext.ch14ext_gjeResidualS23_family_isBigOOne	private	NumStability.Algorithms.Ch14GJEAsymptoticFamilies	private root
_private.NumStability.Algorithms.Ch14GJEAsymptoticFamilies.0.NumStability.Ch14Ext.ch14ext_gjeResidualS2_family_isBigOOne	private	NumStability.Algorithms.Ch14GJEAsymptoticFamilies	private root
_private.NumStability.Algorithms.Ch14GJEAsymptoticFamilies.0.NumStability.Ch14Ext.ch14ext_one_add_gamma_family_isBigO_one	private	NumStability.Algorithms.Ch14GJEAsymptoticFamilies	private root
_private.NumStability.Algorithms.Ch14GJEAsymptoticFamilies.0.NumStability.Ch14Ext.ch14ext_one_add_gamma_pow_family_isBigO_one	private	NumStability.Algorithms.Ch14GJEAsymptoticFamilies	private root
_private.NumStability.Algorithms.Ch14GJEAsymptoticFamilies.0.NumStability.Ch14Ext.ch14ext_one_add_gamma_pow_sub_one_family_isBigO_unit	private	NumStability.Algorithms.Ch14GJEAsymptoticFamilies	private root
_private.NumStability.Algorithms.Ch14GJEPrintedEnvelopeClosure.0.NumStability.Ch14Ext.ch14ext_gjeInvCumProd_unit_upper	private	NumStability.Algorithms.Ch14GJEPrintedEnvelopeClosure	private root
_private.NumStability.Algorithms.Ch14GJEPrintedEnvelopeClosure.0.NumStability.Ch14Ext.ch14ext_gjeInvStageMatrix_diag_one	private	NumStability.Algorithms.Ch14GJEPrintedEnvelopeClosure	private root
